rat,rsrp,rsrq,snr,pci,deltaTcpKernelLossRate,deltaDnsRttAvg,deltaTcpKernelRttAvg,dlRateBps,ulRateBps,retans,totalretrans,unacked,retransmit,lostCount,avgRttVar,minRtt,avgRtt,isVedioDataStall,isVideoFront
13.0,-93.0,-4.0,26.0,0.0,12.0,-1.0,-1.0,2.0,2.0,1.0,2.0,13.0,2.0,5.0,271366.0,18250.0,326891.0,1.0,0.0
13.0,-93.0,-4.0,26.0,0.0,-80.0,-1.0,-66.0,13.0,2.0,3.0,3.0,14.0,4.0,9.0,313101.0,18250.0,393772.0,1.0,0.0
13.0,-85.0,-6.0,27.0,0.0,500.0,5339.0,7.0,2.0,2.0,1.0,6.0,10.0,2.0,4.0,190844.0,18250.0,218022.0,1.0,0.0
13.0,-85.0,-6.0,27.0,0.0,77.0,1465.0,0.0,1.0,2.0,6.0,13.0,14.0,7.0,11.0,193808.0,18250.0,217403.0,1.0,0.0
13.0,-85.0,-6.0,27.0,0.0,-75.0,4415.0,93.0,2.0,1.0,3.0,2.0,10.0,1.0,5.0,204114.0,18250.0,310875.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,10.0,-1.0,91.0,75.0,6.0,4.0,2.0,8.0,2.0,7.0,153896.0,18250.0,219078.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,2.0,-1.0,-1.0,1.0,2.0,3.0,3.0,11.0,3.0,6.0,181118.0,40637.0,195850.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,8.0,-1.0,-11.0,0.0,1.0,4.0,9.0,14.0,5.0,7.0,183616.0,18250.0,241210.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,7.0,4202.0,-7.0,8.0,3.0,7.0,14.0,24.0,5.0,10.0,208456.0,18250.0,195348.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,-2.0,1241.0,-105.0,155.0,13.0,1.0,19.0,5.0,1.0,4.0,243207.0,18250.0,300642.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,0.0,717.0,-28.0,69.0,4.0,1.0,1.0,13.0,1.0,4.0,275985.0,18250.0,328962.0,1.0,0.0
13.0,-103.0,-7.0,17.0,1.0,0.0,1040.0,34.0,6.0,4.0,1.0,7.0,11.0,1.0,4.0,265988.0,18250.0,294582.0,1.0,0.0
13.0,-103.0,-7.0,17.0,0.0,-4.0,-1.0,-1.0,1.0,3.0,2.0,3.0,15.0,1.0,5.0,276949.0,18250.0,301571.0,1.0,0.0
13.0,-103.0,-7.0,17.0,0.0,5.0,-1.0,-1.0,9.0,2.0,2.0,4.0,11.0,1.0,6.0,289057.0,18250.0,322930.0,1.0,0.0
13.0,-93.0,-4.0,26.0,0.0,12.0,-1.0,-1.0,2.0,2.0,1.0,2.0,13.0,2.0,5.0,271366.0,18250.0,326891.0,1.0,0.0
13.0,-93.0,-4.0,26.0,0.0,-80.0,-1.0,-66.0,13.0,2.0,3.0,3.0,14.0,4.0,9.0,313101.0,18250.0,393772.0,1.0,0.0
13.0,-84.0,-4.0,26.0,0.0,-33.0,-1.0,-16.0,2.0,2.0,3.0,8.0,13.0,3.0,7.0,331620.0,18250.0,410577.0,1.0,0.0
13.0,-84.0,-4.0,26.0,0.0,-5.0,382.0,-33.0,5.0,2.0,1.0,2.0,7.0,2.0,5.0,305822.0,18250.0,376876.0,1.0,0.0
13.0,-84.0,-4.0,26.0,0.0,0.0,637.0,-5.0,166.0,8.0,1.0,1.0,6.0,2.0,5.0,286654.0,18250.0,366534.0,1.0,0.0
13.0,-84.0,-4.0,26.0,0.0,0.0,-1.0,-1.0,80.0,4.0,1.0,0.0,6.0,2.0,5.0,286750.0,18250.0,365218.0,1.0,0.0
13.0,-84.0,-4.0,26.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,6.0,2.0,5.0,286659.0,18250.0,364304.0,1.0,0.0
13.0,-84.0,-4.0,26.0,0.0,0.0,-1.0,-1.0,80.0,3.0,1.0,0.0,6.0,2.0,5.0,286659.0,18250.0,364304.0,1.0,0.0
20.0,-80.0,-11.0,29.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,1.0,6.0,2.0,5.0,288572.0,18250.0,356709.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,0.0,1.0,-1.0,79.0,2.0,1.0,0.0,6.0,2.0,5.0,288572.0,18250.0,356709.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,0.0,-1.0,-1.0,80.0,2.0,1.0,0.0,6.0,2.0,5.0,288530.0,18250.0,352557.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,0.0,-1.0,-8.0,0.0,0.0,1.0,0.0,6.0,2.0,5.0,298417.0,18250.0,361503.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,0.0,-1.0,0.0,80.0,2.0,1.0,0.0,6.0,2.0,5.0,286841.0,18250.0,360146.0,1.0,0.0
